,Country,feature_index,value
144,Chile,weighted_sum_loudness,0.5017583774356966
145,Argentina,weighted_sum_loudness,0.4689627076106903
146,Bolivia,weighted_sum_loudness,0.4063032070597208
147,Paraguay,weighted_sum_loudness,0.4014558529341782
148,Brazil,weighted_sum_loudness,0.5105317049300747
149,Peru,weighted_sum_loudness,0.429046159032674
150,Ecuador,weighted_sum_loudness,0.4087754237042111
151,Uruguay,weighted_sum_loudness,0.4402347949568527
152,Costa Rica,weighted_sum_loudness,0.4261291570943792
153,El Salvador,weighted_sum_loudness,0.4029236654968155
154,Guatemala,weighted_sum_loudness,0.4681270613066715
155,Honduras,weighted_sum_loudness,0.4148910804398216
156,Nicaragua,weighted_sum_loudness,0.4302696852169207
157,Panama,weighted_sum_loudness,0.497129858068106
158,Mexico,weighted_sum_loudness,0.4955002733105049
159,Dominican Republic,weighted_sum_loudness,0.4600290559659684
160,Canada,weighted_sum_loudness,0.6225741327975598
161,USA,weighted_sum_loudness,0.5930152297697027
